Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-1000.0,"-17.6001071538
",2,200.0,1.3000000000000003
-975.0,"-17.5852457692
",2,200.0,1.3000000000000003
-950.0,"-17.5673931538
",2,200.0,1.3000000000000003
-925.0,"-17.5499501538
",2,200.0,1.3000000000000003
-900.0,"-17.5309328462
",2,200.0,1.3000000000000003
-875.0,"-17.5201093846
",2,200.0,1.3000000000000003
-850.0,"-17.5058024615
",2,200.0,1.3000000000000003
-825.0,"-17.4934801538
",2,200.0,1.3000000000000003
-800.0,"-17.4700345385
",2,200.0,1.3000000000000003
-775.0,"-17.4493776154
",2,200.0,1.3000000000000003
-750.0,"-17.4279224615
",2,200.0,1.3000000000000003
-725.0,"-17.3997441538
",2,200.0,1.3000000000000003
-700.0,"-17.3726644615
",2,200.0,1.3000000000000003
-675.0,"-17.3445639231
",2,200.0,1.3000000000000003
-650.0,"-17.31157
",2,200.0,1.3000000000000003
-625.0,"-17.2781913077
",2,200.0,1.3000000000000003
-600.0,"-17.2407498462
",2,200.0,1.3000000000000003
-575.0,"-17.1999748462
",2,200.0,1.3000000000000003
-550.0,"-17.1583086923
",2,200.0,1.3000000000000003
-525.0,"-17.1103393077
",2,200.0,1.3000000000000003
-500.0,"-17.0613853077
",2,200.0,1.3000000000000003
-475.0,"-17.0004878462
",2,200.0,1.3000000000000003
-450.0,"-16.9393052308
",2,200.0,1.3000000000000003
-425.0,"-16.8626143077
",2,200.0,1.3000000000000003
-400.0,"-16.7841287692
",2,200.0,1.3000000000000003
-375.0,"-16.681929
",2,200.0,1.3000000000000003
-350.0,"-16.5798215385
",2,200.0,1.3000000000000003
-325.0,"-16.4536672308
",2,200.0,1.3000000000000003
-300.0,"-16.3087117692
",2,200.0,1.3000000000000003
-275.0,"-16.1642591538
",2,200.0,1.3000000000000003
-250.0,"-15.9932414615
",2,200.0,1.3000000000000003
-225.0,"-15.7855431538
",2,200.0,1.3000000000000003
-200.0,"-15.5705460769
",2,200.0,1.3000000000000003
-175.0,"-15.3407653846
",2,200.0,1.3000000000000003
-150.0,"-15.0655267692
",2,200.0,1.3000000000000003
-125.0,"-14.8021043077
",2,200.0,1.3000000000000003
-100.0,"-14.5011218462
",2,200.0,1.3000000000000003
-75.0,"-14.1836856923
",2,200.0,1.3000000000000003
-50.0,"-13.8514503077
",2,200.0,1.3000000000000003
-25.0,"-13.5385239231
",2,200.0,1.3000000000000003
-8.22619750096e-13,"-13.2007160769
",2,200.0,1.3000000000000003
25.0,"-12.8820207692
",2,200.0,1.3000000000000003
50.0,"-12.5423363846
",2,200.0,1.3000000000000003
75.0,"-12.2257623846
",2,200.0,1.3000000000000003
100.0,"-11.8565726923
",2,200.0,1.3000000000000003
125.0,"-11.514338
",2,200.0,1.3000000000000003
150.0,"-11.1589004615
",2,200.0,1.3000000000000003
175.0,"-10.7836324615
",2,200.0,1.3000000000000003
200.0,"-10.4752782308
",2,200.0,1.3000000000000003
225.0,"-10.1419879231
",2,200.0,1.3000000000000003
250.0,"-9.80951923077
",2,200.0,1.3000000000000003
275.0,"-9.50242323077
",2,200.0,1.3000000000000003
300.0,"-9.23753876923
",2,200.0,1.3000000000000003
325.0,"-8.98464930769
",2,200.0,1.3000000000000003
350.0,"-8.77536469231
",2,200.0,1.3000000000000003
375.0,"-8.57645707692
",2,200.0,1.3000000000000003
400.0,"-8.39626323077
",2,200.0,1.3000000000000003
425.0,"-8.24058392308
",2,200.0,1.3000000000000003
450.0,"-8.109273
",2,200.0,1.3000000000000003
475.0,"-7.99130884615
",2,200.0,1.3000000000000003
500.0,"-7.88579115385
",2,200.0,1.3000000000000003
525.0,"-7.79903246154
",2,200.0,1.3000000000000003
550.0,"-7.72283292308
",2,200.0,1.3000000000000003
575.0,"-7.65027225385
",2,200.0,1.3000000000000003
600.0,"-7.58525656154
",2,200.0,1.3000000000000003
625.0,"-7.52393926154
",2,200.0,1.3000000000000003
650.0,"-7.47207843846
",2,200.0,1.3000000000000003
675.0,"-7.41871803846
",2,200.0,1.3000000000000003
700.0,"-7.37332486923
",2,200.0,1.3000000000000003
725.0,"-7.3300522
",2,200.0,1.3000000000000003
750.0,"-7.29005026154
",2,200.0,1.3000000000000003
775.0,"-7.24877808462
",2,200.0,1.3000000000000003
800.0,"-7.21173060769
",2,200.0,1.3000000000000003
825.0,"-7.17603555385
",2,200.0,1.3000000000000003
850.0,"-7.14393324615
",2,200.0,1.3000000000000003
875.0,"-7.10856546154
",2,200.0,1.3000000000000003
900.0,"-7.07869193077
",2,200.0,1.3000000000000003
925.0,"-7.04982940769
",2,200.0,1.3000000000000003
950.0,"-7.02644714615
",2,200.0,1.3000000000000003
975.0,"-6.99719583846
",2,200.0,1.3000000000000003
1000.0,"-6.97576145385
",2,200.0,1.3000000000000003
975.0,"-6.97170830769
",2,200.0,1.3000000000000003
950.0,"-6.98006870769
",2,200.0,1.3000000000000003
925.0,"-6.99453626154
",2,200.0,1.3000000000000003
900.0,"-7.01467344615
",2,200.0,1.3000000000000003
875.0,"-7.03570418462
",2,200.0,1.3000000000000003
850.0,"-7.06005696154
",2,200.0,1.3000000000000003
825.0,"-7.08595273077
",2,200.0,1.3000000000000003
800.0,"-7.1118041
",2,200.0,1.3000000000000003
775.0,"-7.14304077692
",2,200.0,1.3000000000000003
750.0,"-7.1737228
",2,200.0,1.3000000000000003
725.0,"-7.20786704615
",2,200.0,1.3000000000000003
700.0,"-7.24041499231
",2,200.0,1.3000000000000003
675.0,"-7.27883030769
",2,200.0,1.3000000000000003
650.0,"-7.31915810769
",2,200.0,1.3000000000000003
625.0,"-7.35603982308
",2,200.0,1.3000000000000003
600.0,"-7.39968517692
",2,200.0,1.3000000000000003
575.0,"-7.44771277692
",2,200.0,1.3000000000000003
550.0,"-7.49131143846
",2,200.0,1.3000000000000003
525.0,"-7.55180838462
",2,200.0,1.3000000000000003
500.0,"-7.6128816
",2,200.0,1.3000000000000003
475.0,"-7.67724166923
",2,200.0,1.3000000000000003
450.0,"-7.74658338462
",2,200.0,1.3000000000000003
425.0,"-7.82195484615
",2,200.0,1.3000000000000003
400.0,"-7.91037315385
",2,200.0,1.3000000000000003
375.0,"-8.00572630769
",2,200.0,1.3000000000000003
350.0,"-8.12392907692
",2,200.0,1.3000000000000003
325.0,"-8.25606615385
",2,200.0,1.3000000000000003
300.0,"-8.40646915385
",2,200.0,1.3000000000000003
275.0,"-8.574456
",2,200.0,1.3000000000000003
250.0,"-8.76926892308
",2,200.0,1.3000000000000003
225.0,"-8.98675292308
",2,200.0,1.3000000000000003
200.0,"-9.22327153846
",2,200.0,1.3000000000000003
175.0,"-9.51676515385
",2,200.0,1.3000000000000003
150.0,"-9.77442869231
",2,200.0,1.3000000000000003
125.0,"-10.0977224615
",2,200.0,1.3000000000000003
100.0,"-10.4380252308
",2,200.0,1.3000000000000003
75.0,"-10.7641849231
",2,200.0,1.3000000000000003
50.0,"-11.1047624615
",2,200.0,1.3000000000000003
25.0,"-11.4609255385
",2,200.0,1.3000000000000003
-7.65887353538e-13,"-11.7962998462
",2,200.0,1.3000000000000003
-25.0,"-12.1231944615
",2,200.0,1.3000000000000003
-50.0,"-12.4868681538
",2,200.0,1.3000000000000003
-75.0,"-12.8286300769
",2,200.0,1.3000000000000003
-100.0,"-13.1747422308
",2,200.0,1.3000000000000003
-125.0,"-13.4948928462
",2,200.0,1.3000000000000003
-150.0,"-13.8309746154
",2,200.0,1.3000000000000003
-175.0,"-14.1501835385
",2,200.0,1.3000000000000003
-200.0,"-14.4597043077
",2,200.0,1.3000000000000003
-225.0,"-14.7734689231
",2,200.0,1.3000000000000003
-250.0,"-15.0786653077
",2,200.0,1.3000000000000003
-275.0,"-15.3386680769
",2,200.0,1.3000000000000003
-300.0,"-15.5896712308
",2,200.0,1.3000000000000003
-325.0,"-15.8042553077
",2,200.0,1.3000000000000003
-350.0,"-15.9848756923
",2,200.0,1.3000000000000003
-375.0,"-16.1593409231
",2,200.0,1.3000000000000003
-400.0,"-16.339346
",2,200.0,1.3000000000000003
-425.0,"-16.4825274615
",2,200.0,1.3000000000000003
-450.0,"-16.6017616923
",2,200.0,1.3000000000000003
-475.0,"-16.7149366923
",2,200.0,1.3000000000000003
-500.0,"-16.8067838462
",2,200.0,1.3000000000000003
-525.0,"-16.8931883077
",2,200.0,1.3000000000000003
-550.0,"-16.9658469231
",2,200.0,1.3000000000000003
-575.0,"-17.0275463846
",2,200.0,1.3000000000000003
-600.0,"-17.0911301538
",2,200.0,1.3000000000000003
-625.0,"-17.146738
",2,200.0,1.3000000000000003
-650.0,"-17.1930446154
",2,200.0,1.3000000000000003
-675.0,"-17.2365741538
",2,200.0,1.3000000000000003
-700.0,"-17.2775056923
",2,200.0,1.3000000000000003
-725.0,"-17.3136053077
",2,200.0,1.3000000000000003
-750.0,"-17.3473566923
",2,200.0,1.3000000000000003
-775.0,"-17.3794725385
",2,200.0,1.3000000000000003
-800.0,"-17.4100199231
",2,200.0,1.3000000000000003
-825.0,"-17.4381233077
",2,200.0,1.3000000000000003
-850.0,"-17.4612280769
",2,200.0,1.3000000000000003
-875.0,"-17.4837771538
",2,200.0,1.3000000000000003
-900.0,"-17.5069497692
",2,200.0,1.3000000000000003
-925.0,"-17.5280055385
",2,200.0,1.3000000000000003
-950.0,"-17.5500653077
",2,200.0,1.3000000000000003
-975.0,"-17.5684380769
",2,200.0,1.3000000000000003
-1000.0,"-17.5850906923
",2,200.0,1.3000000000000003
