Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-1000.0,"-17.7145416
",2,200.0,-1.5
-975.0,"-17.7006132667
",2,200.0,-1.5
-950.0,"-17.6859367333
",2,200.0,-1.5
-925.0,"-17.6701605333
",2,200.0,-1.5
-900.0,"-17.6532908667
",2,200.0,-1.5
-875.0,"-17.6591727333
",2,200.0,-1.5
-850.0,"-17.6504438
",2,200.0,-1.5
-825.0,"-17.6350626667
",2,200.0,-1.5
-800.0,"-17.6171645333
",2,200.0,-1.5
-775.0,"-17.5996392667
",2,200.0,-1.5
-750.0,"-17.5774902667
",2,200.0,-1.5
-725.0,"-17.5560160667
",2,200.0,-1.5
-700.0,"-17.5297798
",2,200.0,-1.5
-675.0,"-17.5016882
",2,200.0,-1.5
-650.0,"-17.4767862
",2,200.0,-1.5
-625.0,"-17.4480039333
",2,200.0,-1.5
-600.0,"-17.4136407333
",2,200.0,-1.5
-575.0,"-17.3773334
",2,200.0,-1.5
-550.0,"-17.346088
",2,200.0,-1.5
-525.0,"-17.3086474
",2,200.0,-1.5
-500.0,"-17.2617820667
",2,200.0,-1.5
-475.0,"-17.215635
",2,200.0,-1.5
-450.0,"-17.1613800667
",2,200.0,-1.5
-425.0,"-17.1080449333
",2,200.0,-1.5
-400.0,"-17.0396284667
",2,200.0,-1.5
-375.0,"-16.9618900667
",2,200.0,-1.5
-350.0,"-16.8741108
",2,200.0,-1.5
-325.0,"-16.7771106
",2,200.0,-1.5
-300.0,"-16.6773409333
",2,200.0,-1.5
-275.0,"-16.5539248667
",2,200.0,-1.5
-250.0,"-16.4111438
",2,200.0,-1.5
-225.0,"-16.2456431333
",2,200.0,-1.5
-200.0,"-16.0775468667
",2,200.0,-1.5
-175.0,"-15.8702174667
",2,200.0,-1.5
-150.0,"-15.6736434667
",2,200.0,-1.5
-125.0,"-15.4186213333
",2,200.0,-1.5
-100.0,"-15.1505516667
",2,200.0,-1.5
-75.0,"-14.8810593333
",2,200.0,-1.5
-50.0,"-14.5776714
",2,200.0,-1.5
-25.0,"-14.2411779333
",2,200.0,-1.5
-8.22619750096e-13,"-13.9204296667
",2,200.0,-1.5
25.0,"-13.5818421333
",2,200.0,-1.5
50.0,"-13.2617303333
",2,200.0,-1.5
75.0,"-12.9282150667
",2,200.0,-1.5
100.0,"-12.5934194
",2,200.0,-1.5
125.0,"-12.2258084
",2,200.0,-1.5
150.0,"-11.8762279333
",2,200.0,-1.5
175.0,"-11.531131
",2,200.0,-1.5
200.0,"-11.1958816667
",2,200.0,-1.5
225.0,"-10.8393685333
",2,200.0,-1.5
250.0,"-10.4864456667
",2,200.0,-1.5
275.0,"-10.1695503333
",2,200.0,-1.5
300.0,"-9.8458512
",2,200.0,-1.5
325.0,"-9.56675826667
",2,200.0,-1.5
350.0,"-9.28388706667
",2,200.0,-1.5
375.0,"-9.03188846667
",2,200.0,-1.5
400.0,"-8.8308534
",2,200.0,-1.5
425.0,"-8.62511413333
",2,200.0,-1.5
450.0,"-8.45502233333
",2,200.0,-1.5
475.0,"-8.29432053333
",2,200.0,-1.5
500.0,"-8.15295873333
",2,200.0,-1.5
525.0,"-8.0351156
",2,200.0,-1.5
550.0,"-7.935498
",2,200.0,-1.5
575.0,"-7.84749313333
",2,200.0,-1.5
600.0,"-7.763865
",2,200.0,-1.5
625.0,"-7.69681713333
",2,200.0,-1.5
650.0,"-7.6290996
",2,200.0,-1.5
675.0,"-7.57346886667
",2,200.0,-1.5
700.0,"-7.52176406667
",2,200.0,-1.5
725.0,"-7.4752486
",2,200.0,-1.5
750.0,"-7.42884526667
",2,200.0,-1.5
775.0,"-7.38837026667
",2,200.0,-1.5
800.0,"-7.34562853333
",2,200.0,-1.5
825.0,"-7.30751813333
",2,200.0,-1.5
850.0,"-7.26912086667
",2,200.0,-1.5
875.0,"-7.23507213333
",2,200.0,-1.5
900.0,"-7.20171473333
",2,200.0,-1.5
925.0,"-7.1706698
",2,200.0,-1.5
950.0,"-7.13900213333
",2,200.0,-1.5
975.0,"-7.10831366667
",2,200.0,-1.5
1000.0,"-7.08526693333
",2,200.0,-1.5
975.0,"-7.04929086667
",2,200.0,-1.5
950.0,"-7.05613733333
",2,200.0,-1.5
925.0,"-7.07365833333
",2,200.0,-1.5
900.0,"-7.09212086667
",2,200.0,-1.5
875.0,"-7.11592213333
",2,200.0,-1.5
850.0,"-7.14143913333
",2,200.0,-1.5
825.0,"-7.16658893333
",2,200.0,-1.5
800.0,"-7.19463113333
",2,200.0,-1.5
775.0,"-7.22781326667
",2,200.0,-1.5
750.0,"-7.2608242
",2,200.0,-1.5
725.0,"-7.29887173333
",2,200.0,-1.5
700.0,"-7.33632526667
",2,200.0,-1.5
675.0,"-7.37762486667
",2,200.0,-1.5
650.0,"-7.418157
",2,200.0,-1.5
625.0,"-7.46073793333
",2,200.0,-1.5
600.0,"-7.5098682
",2,200.0,-1.5
575.0,"-7.56435373333
",2,200.0,-1.5
550.0,"-7.62089186667
",2,200.0,-1.5
525.0,"-7.68498686667
",2,200.0,-1.5
500.0,"-7.75282993333
",2,200.0,-1.5
475.0,"-7.83197026667
",2,200.0,-1.5
450.0,"-7.9253058
",2,200.0,-1.5
425.0,"-8.01886293333
",2,200.0,-1.5
400.0,"-8.13734493333
",2,200.0,-1.5
375.0,"-8.2606632
",2,200.0,-1.5
350.0,"-8.41709026667
",2,200.0,-1.5
325.0,"-8.58502746667
",2,200.0,-1.5
300.0,"-8.78932453333
",2,200.0,-1.5
275.0,"-9.00629273333
",2,200.0,-1.5
250.0,"-9.23465986667
",2,200.0,-1.5
225.0,"-9.49902253333
",2,200.0,-1.5
