Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-550.0,"-0.412540647895
",sample name,-1200.0,1.9
-539.0,"-0.412568494737
",sample name,-1200.0,1.9
-528.0,"-0.412824366842
",sample name,-1200.0,1.9
-517.0,"-0.413182312105
",sample name,-1200.0,1.9
-506.0,"-0.413043823158
",sample name,-1200.0,1.9
-495.0,"-0.413639341053
",sample name,-1200.0,1.9
-484.0,"-0.413352057895
",sample name,-1200.0,1.9
-473.0,"-0.413213735263
",sample name,-1200.0,1.9
-462.0,"-0.413483284737
",sample name,-1200.0,1.9
-451.0,"-0.413579045789
",sample name,-1200.0,1.9
-440.0,"-0.413777688947
",sample name,-1200.0,1.9
-429.0,"-0.413674834737
",sample name,-1200.0,1.9
-418.0,"-0.413557764737
",sample name,-1200.0,1.9
-407.0,"-0.413501017368
",sample name,-1200.0,1.9
-396.0,"-0.413735428947
",sample name,-1200.0,1.9
-385.0,"-0.414097193684
",sample name,-1200.0,1.9
-374.0,"-0.413402038421
",sample name,-1200.0,1.9
-363.0,"-0.413678868947
",sample name,-1200.0,1.9
-352.0,"-0.413611481579
",sample name,-1200.0,1.9
-341.0,"-0.414037114211
",sample name,-1200.0,1.9
-330.0,"-0.414228636316
",sample name,-1200.0,1.9
-319.0,"-0.413505107368
",sample name,-1200.0,1.9
-308.0,"-0.414271196842
",sample name,-1200.0,1.9
-297.0,"-0.414558536842
",sample name,-1200.0,1.9
-286.0,"-0.413884661579
",sample name,-1200.0,1.9
-275.0,"-0.413728566842
",sample name,-1200.0,1.9
-264.0,"-0.414686178947
",sample name,-1200.0,1.9
-253.0,"-0.413948463158
",sample name,-1200.0,1.9
-242.0,"-0.413821109474
",sample name,-1200.0,1.9
-231.0,"-0.413675694211
",sample name,-1200.0,1.9
-220.0,"-0.413952337895
",sample name,-1200.0,1.9
-209.0,"-0.413906230526
",sample name,-1200.0,1.9
-198.0,"-0.413980739474
",sample name,-1200.0,1.9
-187.0,"-0.413764389474
",sample name,-1200.0,1.9
-176.0,"-0.413579686316
",sample name,-1200.0,1.9
-165.0,"-0.413916623684
",sample name,-1200.0,1.9
-154.0,"-0.413689395789
",sample name,-1200.0,1.9
-143.0,"-0.413551074211
",sample name,-1200.0,1.9
-132.0,"-0.413178724211
",sample name,-1200.0,1.9
-121.0,"-0.413802945263
",sample name,-1200.0,1.9
-110.0,"-0.414001901579
",sample name,-1200.0,1.9
-99.0,"-0.414087106316
",sample name,-1200.0,1.9
-88.0,"-0.413732434737
",sample name,-1200.0,1.9
-77.0,"-0.413842383158
",sample name,-1200.0,1.9
-66.0,"-0.414037452105
",sample name,-1200.0,1.9
-55.0,"-0.414321201579
",sample name,-1200.0,1.9
-44.0,"-0.414392135789
",sample name,-1200.0,1.9
-33.0,"-0.414104823158
",sample name,-1200.0,1.9
-22.0,"-0.413211051579
",sample name,-1200.0,1.9
-11.0,"-0.414359885789
",sample name,-1200.0,1.9
6.84334533485e-13,"-0.413519115789
",sample name,-1200.0,1.9
11.0,"-0.413618423684
",sample name,-1200.0,1.9
22.0,"-0.413668344211
",sample name,-1200.0,1.9
33.0,"-0.413994557895
",sample name,-1200.0,1.9
44.0,"-0.413959090526
",sample name,-1200.0,1.9
55.0,"-0.413345521579
",sample name,-1200.0,1.9
66.0,"-0.413944915789
",sample name,-1200.0,1.9
77.0,"-0.413664725789
",sample name,-1200.0,1.9
88.0,"-0.413898836316
",sample name,-1200.0,1.9
99.0,"-0.413891742632
",sample name,-1200.0,1.9
110.0,"-0.413977165789
",sample name,-1200.0,1.9
121.0,"-0.413835297368
",sample name,-1200.0,1.9
132.0,"-0.414062259474
",sample name,-1200.0,1.9
143.0,"-0.413994871579
",sample name,-1200.0,1.9
154.0,"-0.413966141053
",sample name,-1200.0,1.9
165.0,"-0.413448302105
",sample name,-1200.0,1.9
176.0,"-0.413700092105
",sample name,-1200.0,1.9
187.0,"-0.413334781053
",sample name,-1200.0,1.9
198.0,"-0.414303031579
",sample name,-1200.0,1.9
209.0,"-0.413891613158
",sample name,-1200.0,1.9
220.0,"-0.413664623684
",sample name,-1200.0,1.9
231.0,"-0.414221472632
",sample name,-1200.0,1.9
242.0,"-0.414217871053
",sample name,-1200.0,1.9
253.0,"-0.413487248947
",sample name,-1200.0,1.9
264.0,"-0.414218173158
",sample name,-1200.0,1.9
275.0,"-0.414292654211
",sample name,-1200.0,1.9
286.0,"-0.413317061579
",sample name,-1200.0,1.9
297.0,"-0.413703879474
",sample name,-1200.0,1.9
308.0,"-0.413564935263
",sample name,-1200.0,1.9
319.0,"-0.414253008421
",sample name,-1200.0,1.9
330.0,"-0.414200384737
",sample name,-1200.0,1.9
341.0,"-0.414054969474
",sample name,-1200.0,1.9
352.0,"-0.413746659474
",sample name,-1200.0,1.9
363.0,"-0.414367607895
",sample name,-1200.0,1.9
374.0,"-0.414144443684
",sample name,-1200.0,1.9
385.0,"-0.413442220526
",sample name,-1200.0,1.9
396.0,"-0.414435286316
",sample name,-1200.0,1.9
407.0,"-0.413931934211
",sample name,-1200.0,1.9
418.0,"-0.474271912105
",sample name,-1200.0,1.9
429.0,"-0.600362026316
",sample name,-1200.0,1.9
440.0,"-0.613768821053
",sample name,-1200.0,1.9
451.0,"-0.614222447368
",sample name,-1200.0,1.9
462.0,"-0.613782652632
",sample name,-1200.0,1.9
473.0,"-0.614339447368
",sample name,-1200.0,1.9
484.0,"-0.6141485
",sample name,-1200.0,1.9
495.0,"-0.613276089474
",sample name,-1200.0,1.9
506.0,"-0.613754978947
",sample name,-1200.0,1.9
517.0,"-0.614209
",sample name,-1200.0,1.9
528.0,"-0.613360942105
",sample name,-1200.0,1.9
539.0,"-0.613913384211
",sample name,-1200.0,1.9
550.0,"-0.6140588
",sample name,-1200.0,1.9
