Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-550.0,"-0.408644056667
",sample name,-1200.0,-0.8999999999999999
-539.0,"-0.408179794444
",sample name,-1200.0,-0.8999999999999999
-528.0,"-0.408502067778
",sample name,-1200.0,-0.8999999999999999
-517.0,"-0.408007805556
",sample name,-1200.0,-0.8999999999999999
-506.0,"-0.408532318889
",sample name,-1200.0,-0.8999999999999999
-495.0,"-0.407895878889
",sample name,-1200.0,-0.8999999999999999
-484.0,"-0.40659302
",sample name,-1200.0,-0.8999999999999999
-473.0,"-0.407551423333
",sample name,-1200.0,-0.8999999999999999
-462.0,"-0.406773034444
",sample name,-1200.0,-0.8999999999999999
-451.0,"-0.406870372222
",sample name,-1200.0,-0.8999999999999999
-440.0,"-0.407215135556
",sample name,-1200.0,-0.8999999999999999
-429.0,"-0.40591979
",sample name,-1200.0,-0.8999999999999999
-418.0,"-0.406181605556
",sample name,-1200.0,-0.8999999999999999
-407.0,"-0.406421206667
",sample name,-1200.0,-0.8999999999999999
-396.0,"-0.406773051111
",sample name,-1200.0,-0.8999999999999999
-385.0,"-0.406458574444
",sample name,-1200.0,-0.8999999999999999
-374.0,"-0.406825463333
",sample name,-1200.0,-0.8999999999999999
-363.0,"-0.406690402222
",sample name,-1200.0,-0.8999999999999999
-352.0,"-0.4060914
",sample name,-1200.0,-0.8999999999999999
-341.0,"-0.40630851
",sample name,-1200.0,-0.8999999999999999
-330.0,"-0.407102187778
",sample name,-1200.0,-0.8999999999999999
-319.0,"-0.405021252222
",sample name,-1200.0,-0.8999999999999999
-308.0,"-0.406638561111
",sample name,-1200.0,-0.8999999999999999
-297.0,"-0.40584509
",sample name,-1200.0,-0.8999999999999999
-286.0,"-0.407424962222
",sample name,-1200.0,-0.8999999999999999
-275.0,"-0.406166996667
",sample name,-1200.0,-0.8999999999999999
-264.0,"-0.406331722222
",sample name,-1200.0,-0.8999999999999999
-253.0,"-0.405957032222
",sample name,-1200.0,-0.8999999999999999
-242.0,"-0.405829743333
",sample name,-1200.0,-0.8999999999999999
-231.0,"-0.407469201111
",sample name,-1200.0,-0.8999999999999999
-220.0,"-0.406660546667
",sample name,-1200.0,-0.8999999999999999
-209.0,"-0.406435547778
",sample name,-1200.0,-0.8999999999999999
-198.0,"-0.406300772222
",sample name,-1200.0,-0.8999999999999999
-187.0,"-0.406944601111
",sample name,-1200.0,-0.8999999999999999
-176.0,"-0.406734922222
",sample name,-1200.0,-0.8999999999999999
-165.0,"-0.406764872222
",sample name,-1200.0,-0.8999999999999999
-154.0,"-0.406899854444
",sample name,-1200.0,-0.8999999999999999
-143.0,"-0.406780025556
",sample name,-1200.0,-0.8999999999999999
-132.0,"-0.407940592222
",sample name,-1200.0,-0.8999999999999999
-121.0,"-0.40812058
",sample name,-1200.0,-0.8999999999999999
-110.0,"-0.406840212222
",sample name,-1200.0,-0.8999999999999999
-99.0,"-0.407087301111
",sample name,-1200.0,-0.8999999999999999
-88.0,"-0.407768665556
",sample name,-1200.0,-0.8999999999999999
-77.0,"-0.407895953333
",sample name,-1200.0,-0.8999999999999999
-66.0,"-0.40794092
",sample name,-1200.0,-0.8999999999999999
-55.0,"-0.407454258889
",sample name,-1200.0,-0.8999999999999999
