Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-80.0,"340.9414575
",sample_name,0.0,2.0
-78.6666666667,"340.941444
",sample_name,0.0,2.0
-77.3333333333,"340.941444
",sample_name,0.0,2.0
-76.0,"340.9439465
",sample_name,0.0,2.0
-74.6666666667,"340.940887
",sample_name,0.0,2.0
-73.3333333333,"340.9434395
",sample_name,0.0,2.0
-72.0,"340.942922
",sample_name,0.0,2.0
-70.6666666667,"340.942848
",sample_name,0.0,2.0
-69.3333333333,"340.942552
",sample_name,0.0,2.0
-68.0,"340.9447015
",sample_name,0.0,2.0
-66.6666666667,"340.9423705
",sample_name,0.0,2.0
-65.3333333333,"340.9427405
",sample_name,0.0,2.0
-64.0,"340.940445
",sample_name,0.0,2.0
-62.6666666667,"340.941333
",sample_name,0.0,2.0
-61.3333333333,"340.940297
",sample_name,0.0,2.0
-60.0,"340.9382495
",sample_name,0.0,2.0
-58.6666666667,"340.9391375
",sample_name,0.0,2.0
-57.3333333333,"340.943599
",sample_name,0.0,2.0
-56.0,"340.944228
",sample_name,0.0,2.0
-54.6666666667,"340.9413055
",sample_name,0.0,2.0
-53.3333333333,"340.9394115
",sample_name,0.0,2.0
-52.0,"340.940151
",sample_name,0.0,2.0
-50.6666666667,"340.9382275
",sample_name,0.0,2.0
-49.3333333333,"340.9388195
",sample_name,0.0,2.0
-48.0,"340.940854
",sample_name,0.0,2.0
-46.6666666667,"340.935007
",sample_name,0.0,2.0
-45.3333333333,"340.935192
",sample_name,0.0,2.0
-44.0,"340.9407045
",sample_name,0.0,2.0
-42.6666666667,"340.9386695
",sample_name,0.0,2.0
-41.3333333333,"340.9416495
",sample_name,0.0,2.0
-40.0,"340.9443505
",sample_name,0.0,2.0
-38.6666666667,"340.939145
",sample_name,0.0,2.0
-37.3333333333,"340.9454345
",sample_name,0.0,2.0
-36.0,"340.942327
",sample_name,0.0,2.0
-34.6666666667,"340.9439545
",sample_name,0.0,2.0
-33.3333333333,"340.9482095
",sample_name,0.0,2.0
-32.0,"340.9468775
",sample_name,0.0,2.0
-30.6666666667,"340.948764
",sample_name,0.0,2.0
-29.3333333333,"340.9476415
",sample_name,0.0,2.0
-28.0,"340.950823
",sample_name,0.0,2.0
-26.6666666667,"340.956064
",sample_name,0.0,2.0
-25.3333333333,"340.9579875
",sample_name,0.0,2.0
-24.0,"340.9531965
",sample_name,0.0,2.0
-22.6666666667,"340.9540845
",sample_name,0.0,2.0
-21.3333333333,"340.9555535
",sample_name,0.0,2.0
-20.0,"340.95178
",sample_name,0.0,2.0
-18.6666666667,"340.959216
",sample_name,0.0,2.0
-17.3333333333,"340.957625
",sample_name,0.0,2.0
-16.0,"340.9571275
",sample_name,0.0,2.0
-14.6666666667,"340.9623755
",sample_name,0.0,2.0
-13.3333333333,"340.955679
",sample_name,0.0,2.0
-12.0,"340.9558145
",sample_name,0.0,2.0
-10.6666666667,"340.96018
",sample_name,0.0,2.0
-9.33333333333,"340.9662475
",sample_name,0.0,2.0
-8.0,"340.9650265
",sample_name,0.0,2.0
-6.66666666667,"340.964568
",sample_name,0.0,2.0
-5.33333333333,"340.9658625
",sample_name,0.0,2.0
-4.0,"340.962335
",sample_name,0.0,2.0
-2.66666666667,"340.963593
",sample_name,0.0,2.0
-1.33333333333,"340.9722925
",sample_name,0.0,2.0
1.00100214576e-13,"340.967705
",sample_name,0.0,2.0
1.33333333333,"340.967409
",sample_name,0.0,2.0
2.66666666667,"340.9654465
",sample_name,0.0,2.0
4.0,"340.965619
",sample_name,0.0,2.0
5.33333333333,"340.9562955
",sample_name,0.0,2.0
6.66666666667,"340.960815
",sample_name,0.0,2.0
8.0,"340.9641815
",sample_name,0.0,2.0
9.33333333333,"340.9646345
",sample_name,0.0,2.0
10.6666666667,"340.9726255
",sample_name,0.0,2.0
12.0,"340.9723665
",sample_name,0.0,2.0
13.3333333333,"340.9668415
",sample_name,0.0,2.0
14.6666666667,"340.9734025
",sample_name,0.0,2.0
16.0,"340.969111
",sample_name,0.0,2.0
17.3333333333,"340.9762755
",sample_name,0.0,2.0
18.6666666667,"340.9809
",sample_name,0.0,2.0
20.0,"340.9779775
",sample_name,0.0,2.0
21.3333333333,"340.9840505
",sample_name,0.0,2.0
22.6666666667,"340.9831995
",sample_name,0.0,2.0
24.0,"340.9883545
",sample_name,0.0,2.0
25.3333333333,"340.994646
",sample_name,0.0,2.0
