Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"281.13043244406197
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-193.333333333,"281.703743545611
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-186.666666667,"281.5643825301205
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-180.0,"281.47143932874354
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-173.333333333,"281.5784208261618
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-166.666666667,"281.73493975903614
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-160.0,"281.361660929432
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-153.333333333,"281.5450731497418
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-146.666666667,"281.4125430292599
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-140.0,"281.4038296041308
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-133.333333333,"281.30491609294324
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-126.666666667,"281.437930292599
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-120.0,"281.57524741824443
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-113.333333333,"279.57573149741825
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-106.666666667,"281.15506669535284
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-100.0,"281.3633820998279
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-93.3333333333,"281.462510757315
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-86.6666666667,"281.3846815834768
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-80.0,"281.10219449225474
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-73.3333333333,"281.1076807228916
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-66.6666666667,"280.24967728055077
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-60.0,"280.3994728915663
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-53.3333333333,"282.95745481927713
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-46.6666666667,"281.1190834767642
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-40.0,"280.82589285714283
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-33.3333333333,"281.14097461273667
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-26.6666666667,"281.3217512908778
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-20.0,"280.6933627366609
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-13.3333333333,"282.93040017211706
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-6.66666666667,"280.82089070567986
",sample name,-400.0,-0.6999999999999998,2899.575807473465
0.0,"281.2377904475043
",sample name,-400.0,-0.6999999999999998,2899.575807473465
6.66666666667,"282.1389307228916
",sample name,-400.0,-0.6999999999999998,2899.575807473465
13.3333333333,"282.11714716006884
",sample name,-400.0,-0.6999999999999998,2899.575807473465
20.0,"281.89549268502583
",sample name,-400.0,-0.6999999999999998,2899.575807473465
26.6666666667,"282.396675989673
",sample name,-400.0,-0.6999999999999998,2899.575807473465
33.3333333333,"281.70697074010326
",sample name,-400.0,-0.6999999999999998,2899.575807473465
40.0,"281.37994836488815
",sample name,-400.0,-0.6999999999999998,2899.575807473465
46.6666666667,"281.4178141135973
",sample name,-400.0,-0.6999999999999998,2899.575807473465
53.3333333333,"281.6025709982788
",sample name,-400.0,-0.6999999999999998,2899.575807473465
60.0,"281.03802710843377
",sample name,-400.0,-0.6999999999999998,2899.575807473465
66.6666666667,"282.662919535284
",sample name,-400.0,-0.6999999999999998,2899.575807473465
73.3333333333,"286.35509896729775
",sample name,-400.0,-0.6999999999999998,2899.575807473465
80.0,"286.37623709122204
",sample name,-400.0,-0.6999999999999998,2899.575807473465
86.6666666667,"285.83772590361446
",sample name,-400.0,-0.6999999999999998,2899.575807473465
93.3333333333,"285.60940189328744
",sample name,-400.0,-0.6999999999999998,2899.575807473465
100.0,"285.85585197934597
",sample name,-400.0,-0.6999999999999998,2899.575807473465
106.666666667,"286.06502796901896
",sample name,-400.0,-0.6999999999999998,2899.575807473465
113.333333333,"286.3513876936317
",sample name,-400.0,-0.6999999999999998,2899.575807473465
120.0,"286.25559380378655
",sample name,-400.0,-0.6999999999999998,2899.575807473465
126.666666667,"286.11074655765924
",sample name,-400.0,-0.6999999999999998,2899.575807473465
133.333333333,"285.9548192771084
",sample name,-400.0,-0.6999999999999998,2899.575807473465
140.0,"284.87677495697073
",sample name,-400.0,-0.6999999999999998,2899.575807473465
146.666666667,"284.91168244406197
",sample name,-400.0,-0.6999999999999998,2899.575807473465
153.333333333,"287.07379518072287
",sample name,-400.0,-0.6999999999999998,2899.575807473465
160.0,"286.13021729776244
",sample name,-400.0,-0.6999999999999998,2899.575807473465
166.666666667,"285.5735262478485
",sample name,-400.0,-0.6999999999999998,2899.575807473465
173.333333333,"284.9648773666093
",sample name,-400.0,-0.6999999999999998,2899.575807473465
180.0,"285.58111015490533
",sample name,-400.0,-0.6999999999999998,2899.575807473465
186.666666667,"285.6782487091222
",sample name,-400.0,-0.6999999999999998,2899.575807473465
193.333333333,"285.8321320998279
",sample name,-400.0,-0.6999999999999998,2899.575807473465
200.0,"285.63973752151463
",sample name,-400.0,-0.6999999999999998,2899.575807473465
193.333333333,"285.77006239242684
",sample name,-400.0,-0.6999999999999998,2899.575807473465
186.666666667,"285.865425989673
",sample name,-400.0,-0.6999999999999998,2899.575807473465
180.0,"286.0582508605852
",sample name,-400.0,-0.6999999999999998,2899.575807473465
173.333333333,"285.59089931153187
",sample name,-400.0,-0.6999999999999998,2899.575807473465
166.666666667,"286.02614027538726
",sample name,-400.0,-0.6999999999999998,2899.575807473465
160.0,"286.07664586919105
",sample name,-400.0,-0.6999999999999998,2899.575807473465
153.333333333,"285.92044965576594
",sample name,-400.0,-0.6999999999999998,2899.575807473465
146.666666667,"285.72052495697073
",sample name,-400.0,-0.6999999999999998,2899.575807473465
140.0,"285.63823149741825
",sample name,-400.0,-0.6999999999999998,2899.575807473465
133.333333333,"286.3093265920826
",sample name,-400.0,-0.6999999999999998,2899.575807473465
126.666666667,"285.37903399311534
",sample name,-400.0,-0.6999999999999998,2899.575807473465
120.0,"286.24117900172115
",sample name,-400.0,-0.6999999999999998,2899.575807473465
113.333333333,"285.830410929432
",sample name,-400.0,-0.6999999999999998,2899.575807473465
106.666666667,"285.6942771084337
",sample name,-400.0,-0.6999999999999998,2899.575807473465
100.0,"285.99456755593803
",sample name,-400.0,-0.6999999999999998,2899.575807473465
93.3333333333,"286.02479561101546
",sample name,-400.0,-0.6999999999999998,2899.575807473465
86.6666666667,"286.2753872633391
",sample name,-400.0,-0.6999999999999998,2899.575807473465
80.0,"286.6627581755594
",sample name,-400.0,-0.6999999999999998,2899.575807473465
73.3333333333,"286.2460735800344
",sample name,-400.0,-0.6999999999999998,2899.575807473465
66.6666666667,"285.77839931153187
",sample name,-400.0,-0.6999999999999998,2899.575807473465
60.0,"285.31717943201375
",sample name,-400.0,-0.6999999999999998,2899.575807473465
53.3333333333,"284.70277538726333
",sample name,-400.0,-0.6999999999999998,2899.575807473465
46.6666666667,"286.07390275387263
",sample name,-400.0,-0.6999999999999998,2899.575807473465
40.0,"286.2967405335628
",sample name,-400.0,-0.6999999999999998,2899.575807473465
33.3333333333,"286.10558304647157
",sample name,-400.0,-0.6999999999999998,2899.575807473465
26.6666666667,"286.0753549913942
",sample name,-400.0,-0.6999999999999998,2899.575807473465
20.0,"286.117900172117
",sample name,-400.0,-0.6999999999999998,2899.575807473465
13.3333333333,"286.2433842512909
",sample name,-400.0,-0.6999999999999998,2899.575807473465
6.66666666667,"286.2250430292599
",sample name,-400.0,-0.6999999999999998,2899.575807473465
0.0,"286.0096277969019
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-6.66666666667,"286.3626290877797
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-13.3333333333,"286.10074225473323
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-20.0,"285.93975903614455
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-26.6666666667,"286.0187177280551
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-33.3333333333,"286.1172547332186
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-40.0,"283.7732895869191
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-46.6666666667,"281.1656626506024
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-53.3333333333,"281.2439221170396
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-60.0,"281.5625
",sample name,-400.0,-0.6999999999999998,2899.575807473465
-66.6666666667,"281.5371127366609
",sample name,-400.0,-0.6999999999999998,2899.575807473465
