Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"280.16039156626505
",sample name,-750.0,1.3000000000000003,2872.587427971874
-193.333333333,"280.2802818416523
",sample name,-750.0,1.3000000000000003,2872.587427971874
-186.666666667,"280.86752366609295
",sample name,-750.0,1.3000000000000003,2872.587427971874
-180.0,"281.5160283993115
",sample name,-750.0,1.3000000000000003,2872.587427971874
-173.333333333,"281.35902538726333
",sample name,-750.0,1.3000000000000003,2872.587427971874
-166.666666667,"281.3800559380379
",sample name,-750.0,1.3000000000000003,2872.587427971874
-160.0,"280.6653399311532
",sample name,-750.0,1.3000000000000003,2872.587427971874
-153.333333333,"281.05997203098104
",sample name,-750.0,1.3000000000000003,2872.587427971874
-146.666666667,"280.87430077452666
",sample name,-750.0,1.3000000000000003,2872.587427971874
-140.0,"280.4418029259897
",sample name,-750.0,1.3000000000000003,2872.587427971874
-133.333333333,"280.88398235800344
",sample name,-750.0,1.3000000000000003,2872.587427971874
-126.666666667,"280.87602194492257
",sample name,-750.0,1.3000000000000003,2872.587427971874
-120.0,"281.1712026678141
",sample name,-750.0,1.3000000000000003,2872.587427971874
-113.333333333,"280.97617254733217
",sample name,-750.0,1.3000000000000003,2872.587427971874
-106.666666667,"280.9519148020654
",sample name,-750.0,1.3000000000000003,2872.587427971874
-100.0,"280.9380916523236
",sample name,-750.0,1.3000000000000003,2872.587427971874
-93.3333333333,"281.22628012048193
",sample name,-750.0,1.3000000000000003,2872.587427971874
-86.6666666667,"281.0811639414802
",sample name,-750.0,1.3000000000000003,2872.587427971874
-80.0,"280.89484724612737
",sample name,-750.0,1.3000000000000003,2872.587427971874
-73.3333333333,"281.3658024956971
",sample name,-750.0,1.3000000000000003,2872.587427971874
-66.6666666667,"281.2264414802065
",sample name,-750.0,1.3000000000000003,2872.587427971874
-60.0,"280.7950731497418
",sample name,-750.0,1.3000000000000003,2872.587427971874
-53.3333333333,"281.0322181583477
",sample name,-750.0,1.3000000000000003,2872.587427971874
-46.6666666667,"280.8297654905336
",sample name,-750.0,1.3000000000000003,2872.587427971874
-40.0,"280.7755486230636
",sample name,-750.0,1.3000000000000003,2872.587427971874
-33.3333333333,"280.7726441480207
",sample name,-750.0,1.3000000000000003,2872.587427971874
-26.6666666667,"280.97751721170397
",sample name,-750.0,1.3000000000000003,2872.587427971874
-20.0,"280.74263123924266
",sample name,-750.0,1.3000000000000003,2872.587427971874
-13.3333333333,"280.8798407917384
",sample name,-750.0,1.3000000000000003,2872.587427971874
-6.66666666667,"281.3095417383821
",sample name,-750.0,1.3000000000000003,2872.587427971874
0.0,"281.2642534423408
",sample name,-750.0,1.3000000000000003,2872.587427971874
6.66666666667,"280.9552495697074
",sample name,-750.0,1.3000000000000003,2872.587427971874
13.3333333333,"281.32191265060237
",sample name,-750.0,1.3000000000000003,2872.587427971874
20.0,"281.26656626506025
",sample name,-750.0,1.3000000000000003,2872.587427971874
26.6666666667,"281.60418459552494
",sample name,-750.0,1.3000000000000003,2872.587427971874
33.3333333333,"281.3455787435456
",sample name,-750.0,1.3000000000000003,2872.587427971874
40.0,"281.21858864027536
",sample name,-750.0,1.3000000000000003,2872.587427971874
46.6666666667,"281.45444277108436
",sample name,-750.0,1.3000000000000003,2872.587427971874
53.3333333333,"281.13156196213424
",sample name,-750.0,1.3000000000000003,2872.587427971874
60.0,"281.4071643717728
",sample name,-750.0,1.3000000000000003,2872.587427971874
66.6666666667,"281.6600688468158
",sample name,-750.0,1.3000000000000003,2872.587427971874
73.3333333333,"281.1219879518072
",sample name,-750.0,1.3000000000000003,2872.587427971874
80.0,"282.48192771084337
",sample name,-750.0,1.3000000000000003,2872.587427971874
86.6666666667,"285.20632530120486
",sample name,-750.0,1.3000000000000003,2872.587427971874
93.3333333333,"285.8159961273666
",sample name,-750.0,1.3000000000000003,2872.587427971874
100.0,"285.6321536144578
",sample name,-750.0,1.3000000000000003,2872.587427971874
106.666666667,"285.9106604991394
",sample name,-750.0,1.3000000000000003,2872.587427971874
113.333333333,"285.3663941480206
",sample name,-750.0,1.3000000000000003,2872.587427971874
120.0,"285.42948580034425
",sample name,-750.0,1.3000000000000003,2872.587427971874
126.666666667,"285.7913618760757
",sample name,-750.0,1.3000000000000003,2872.587427971874
133.333333333,"285.85644363166955
",sample name,-750.0,1.3000000000000003,2872.587427971874
140.0,"285.7414479345955
",sample name,-750.0,1.3000000000000003,2872.587427971874
