Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"281.7763016351119
",sample name,400.0,-0.2999999999999998,2750.116164003487
-193.333333333,"281.6181153184165
",sample name,400.0,-0.2999999999999998,2750.116164003487
-186.666666667,"281.5753012048193
",sample name,400.0,-0.2999999999999998,2750.116164003487
-180.0,"281.50935886402755
",sample name,400.0,-0.2999999999999998,2750.116164003487
-173.333333333,"281.4095309810672
",sample name,400.0,-0.2999999999999998,2750.116164003487
-166.666666667,"281.54690189328744
",sample name,400.0,-0.2999999999999998,2750.116164003487
-160.0,"281.72563468158353
",sample name,400.0,-0.2999999999999998,2750.116164003487
-153.333333333,"281.4981712564544
",sample name,400.0,-0.2999999999999998,2750.116164003487
-146.666666667,"281.95627151463
",sample name,400.0,-0.2999999999999998,2750.116164003487
-140.0,"281.4992469879518
",sample name,400.0,-0.2999999999999998,2750.116164003487
-133.333333333,"281.81707185886404
",sample name,400.0,-0.2999999999999998,2750.116164003487
-126.666666667,"281.86763123924266
",sample name,400.0,-0.2999999999999998,2750.116164003487
-120.0,"281.46842728055077
",sample name,400.0,-0.2999999999999998,2750.116164003487
-113.333333333,"281.50753012048193
",sample name,400.0,-0.2999999999999998,2750.116164003487
-106.666666667,"281.3773666092943
",sample name,400.0,-0.2999999999999998,2750.116164003487
-100.0,"281.5136617900172
",sample name,400.0,-0.2999999999999998,2750.116164003487
-93.3333333333,"281.14516996557654
",sample name,400.0,-0.2999999999999998,2750.116164003487
-86.6666666667,"281.66082185886404
",sample name,400.0,-0.2999999999999998,2750.116164003487
-80.0,"281.8101333907057
",sample name,400.0,-0.2999999999999998,2750.116164003487
-73.3333333333,"282.0027431153184
",sample name,400.0,-0.2999999999999998,2750.116164003487
-66.6666666667,"281.6575946643718
",sample name,400.0,-0.2999999999999998,2750.116164003487
-60.0,"281.71234939759034
",sample name,400.0,-0.2999999999999998,2750.116164003487
-53.3333333333,"281.8009358864027
",sample name,400.0,-0.2999999999999998,2750.116164003487
-46.6666666667,"281.5509896729776
",sample name,400.0,-0.2999999999999998,2750.116164003487
-40.0,"281.7634466437177
",sample name,400.0,-0.2999999999999998,2750.116164003487
-33.3333333333,"281.744997848537
",sample name,400.0,-0.2999999999999998,2750.116164003487
-26.6666666667,"282.1202667814114
",sample name,400.0,-0.2999999999999998,2750.116164003487
-20.0,"281.63156196213424
",sample name,400.0,-0.2999999999999998,2750.116164003487
