Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"280.5953635972461
",sample name,400.0,1.3000000000000003,2746.410647745001
-193.333333333,"280.4465361445783
",sample name,400.0,1.3000000000000003,2746.410647745001
-186.666666667,"280.1769578313253
",sample name,400.0,1.3000000000000003,2746.410647745001
-180.0,"280.4695030120482
",sample name,400.0,1.3000000000000003,2746.410647745001
-173.333333333,"280.2847461273666
",sample name,400.0,1.3000000000000003,2746.410647745001
-166.666666667,"280.30314113597245
",sample name,400.0,1.3000000000000003,2746.410647745001
-160.0,"280.3212134251291
",sample name,400.0,1.3000000000000003,2746.410647745001
-153.333333333,"280.32723752151463
",sample name,400.0,1.3000000000000003,2746.410647745001
-146.666666667,"280.2409638554217
",sample name,400.0,1.3000000000000003,2746.410647745001
-140.0,"280.6922870051635
",sample name,400.0,1.3000000000000003,2746.410647745001
-133.333333333,"280.6414049053356
",sample name,400.0,1.3000000000000003,2746.410647745001
-126.666666667,"280.2552710843373
",sample name,400.0,1.3000000000000003,2746.410647745001
-120.0,"280.27054647160065
",sample name,400.0,1.3000000000000003,2746.410647745001
-113.333333333,"280.4230314113597
",sample name,400.0,1.3000000000000003,2746.410647745001
-106.666666667,"280.0148450946644
",sample name,400.0,1.3000000000000003,2746.410647745001
-100.0,"280.38021729776244
",sample name,400.0,1.3000000000000003,2746.410647745001
-93.3333333333,"280.4393287435456
",sample name,400.0,1.3000000000000003,2746.410647745001
-86.6666666667,"280.58428356282275
",sample name,400.0,1.3000000000000003,2746.410647745001
-80.0,"280.3196536144578
",sample name,400.0,1.3000000000000003,2746.410647745001
-73.3333333333,"280.84686962134253
",sample name,400.0,1.3000000000000003,2746.410647745001
-66.6666666667,"280.32142857142856
",sample name,400.0,1.3000000000000003,2746.410647745001
-60.0,"280.07998063683306
",sample name,400.0,1.3000000000000003,2746.410647745001
-53.3333333333,"280.0812177280551
",sample name,400.0,1.3000000000000003,2746.410647745001
-46.6666666667,"280.5259251290878
",sample name,400.0,1.3000000000000003,2746.410647745001
-40.0,"280.3163726333907
",sample name,400.0,1.3000000000000003,2746.410647745001
-33.3333333333,"280.3188468158348
",sample name,400.0,1.3000000000000003,2746.410647745001
-26.6666666667,"280.70417383821
",sample name,400.0,1.3000000000000003,2746.410647745001
-20.0,"280.00753012048193
",sample name,400.0,1.3000000000000003,2746.410647745001
-13.3333333333,"280.3327237521515
",sample name,400.0,1.3000000000000003,2746.410647745001
-6.66666666667,"280.18239027538726
",sample name,400.0,1.3000000000000003,2746.410647745001
0.0,"279.74876290877796
",sample name,400.0,1.3000000000000003,2746.410647745001
6.66666666667,"280.1605529259897
",sample name,400.0,1.3000000000000003,2746.410647745001
13.3333333333,"280.0869191049914
",sample name,400.0,1.3000000000000003,2746.410647745001
20.0,"280.26807228915663
",sample name,400.0,1.3000000000000003,2746.410647745001
26.6666666667,"280.58487521514627
",sample name,400.0,1.3000000000000003,2746.410647745001
33.3333333333,"280.5155443201377
",sample name,400.0,1.3000000000000003,2746.410647745001
40.0,"280.20449655765924
",sample name,400.0,1.3000000000000003,2746.410647745001
46.6666666667,"284.41835197934597
",sample name,400.0,1.3000000000000003,2746.410647745001
53.3333333333,"284.837080464716
",sample name,400.0,1.3000000000000003,2746.410647745001
60.0,"284.714984939759
",sample name,400.0,1.3000000000000003,2746.410647745001
66.6666666667,"284.77248278829603
",sample name,400.0,1.3000000000000003,2746.410647745001
73.3333333333,"285.06847030981066
",sample name,400.0,1.3000000000000003,2746.410647745001
80.0,"284.9243760757315
",sample name,400.0,1.3000000000000003,2746.410647745001
86.6666666667,"284.59251290877796
",sample name,400.0,1.3000000000000003,2746.410647745001
93.3333333333,"285.1011187607573
",sample name,400.0,1.3000000000000003,2746.410647745001
100.0,"284.8162112736661
",sample name,400.0,1.3000000000000003,2746.410647745001
106.666666667,"285.0351226333907
",sample name,400.0,1.3000000000000003,2746.410647745001
113.333333333,"284.79179216867465
",sample name,400.0,1.3000000000000003,2746.410647745001
120.0,"284.8676850258176
",sample name,400.0,1.3000000000000003,2746.410647745001
126.666666667,"285.0182874354561
",sample name,400.0,1.3000000000000003,2746.410647745001
133.333333333,"284.9998924268503
",sample name,400.0,1.3000000000000003,2746.410647745001
140.0,"283.77522590361446
",sample name,400.0,1.3000000000000003,2746.410647745001
146.666666667,"284.68534853700515
",sample name,400.0,1.3000000000000003,2746.410647745001
153.333333333,"285.02909853700515
",sample name,400.0,1.3000000000000003,2746.410647745001
160.0,"284.86698580034425
",sample name,400.0,1.3000000000000003,2746.410647745001
166.666666667,"284.8689221170396
",sample name,400.0,1.3000000000000003,2746.410647745001
173.333333333,"285.07460197934597
",sample name,400.0,1.3000000000000003,2746.410647745001
180.0,"284.83632745266783
",sample name,400.0,1.3000000000000003,2746.410647745001
186.666666667,"285.0471708261618
",sample name,400.0,1.3000000000000003,2746.410647745001
193.333333333,"285.1476441480206
",sample name,400.0,1.3000000000000003,2746.410647745001
200.0,"285.2380593803787
",sample name,400.0,1.3000000000000003,2746.410647745001
193.333333333,"284.66894363166955
",sample name,400.0,1.3000000000000003,2746.410647745001
186.666666667,"284.9909100688468
",sample name,400.0,1.3000000000000003,2746.410647745001
180.0,"285.19347030981066
",sample name,400.0,1.3000000000000003,2746.410647745001
173.333333333,"285.30373278829603
",sample name,400.0,1.3000000000000003,2746.410647745001
166.666666667,"284.91888984509467
",sample name,400.0,1.3000000000000003,2746.410647745001
160.0,"284.6223644578313
",sample name,400.0,1.3000000000000003,2746.410647745001
153.333333333,"284.68470309810675
",sample name,400.0,1.3000000000000003,2746.410647745001
146.666666667,"285.16281196213424
",sample name,400.0,1.3000000000000003,2746.410647745001
140.0,"285.3485907917384
",sample name,400.0,1.3000000000000003,2746.410647745001
133.333333333,"284.86612521514627
",sample name,400.0,1.3000000000000003,2746.410647745001
126.666666667,"285.0402861445783
",sample name,400.0,1.3000000000000003,2746.410647745001
120.0,"285.490856282272
",sample name,400.0,1.3000000000000003,2746.410647745001
113.333333333,"284.89361015490533
",sample name,400.0,1.3000000000000003,2746.410647745001
106.666666667,"285.207508605852
",sample name,400.0,1.3000000000000003,2746.410647745001
100.0,"285.2396191910499
",sample name,400.0,1.3000000000000003,2746.410647745001
93.3333333333,"285.0659423407917
",sample name,400.0,1.3000000000000003,2746.410647745001
86.6666666667,"285.19535283993116
",sample name,400.0,1.3000000000000003,2746.410647745001
80.0,"283.853324010327
",sample name,400.0,1.3000000000000003,2746.410647745001
73.3333333333,"284.7121342512909
",sample name,400.0,1.3000000000000003,2746.410647745001
66.6666666667,"284.7235370051635
",sample name,400.0,1.3000000000000003,2746.410647745001
60.0,"285.6759358864027
",sample name,400.0,1.3000000000000003,2746.410647745001
53.3333333333,"285.425828313253
",sample name,400.0,1.3000000000000003,2746.410647745001
46.6666666667,"285.3534315834768
",sample name,400.0,1.3000000000000003,2746.410647745001
40.0,"285.66894363166955
",sample name,400.0,1.3000000000000003,2746.410647745001
33.3333333333,"285.20422762478483
",sample name,400.0,1.3000000000000003,2746.410647745001
26.6666666667,"284.9642857142857
",sample name,400.0,1.3000000000000003,2746.410647745001
20.0,"285.2222461273666
",sample name,400.0,1.3000000000000003,2746.410647745001
13.3333333333,"285.66023020654046
",sample name,400.0,1.3000000000000003,2746.410647745001
6.66666666667,"285.27624784853697
",sample name,400.0,1.3000000000000003,2746.410647745001
0.0,"284.13925344234076
",sample name,400.0,1.3000000000000003,2746.410647745001
-6.66666666667,"283.8298192771084
",sample name,400.0,1.3000000000000003,2746.410647745001
-13.3333333333,"285.7161144578313
",sample name,400.0,1.3000000000000003,2746.410647745001
-20.0,"285.51366179001724
",sample name,400.0,1.3000000000000003,2746.410647745001
-26.6666666667,"284.8672009466437
",sample name,400.0,1.3000000000000003,2746.410647745001
-33.3333333333,"284.9211488812392
",sample name,400.0,1.3000000000000003,2746.410647745001
-40.0,"283.9581540447505
",sample name,400.0,1.3000000000000003,2746.410647745001
-46.6666666667,"286.4066265060241
",sample name,400.0,1.3000000000000003,2746.410647745001
