Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"281.5592190189328
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-193.333333333,"281.33105636833045
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-186.666666667,"281.4174376075731
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-180.0,"280.7753334767642
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-173.333333333,"281.2081540447505
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-166.666666667,"281.1056906196213
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-160.0,"281.20992900172115
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-153.333333333,"280.9439543889845
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-146.666666667,"281.4725688468158
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-140.0,"280.9094771944923
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-133.333333333,"281.0032809810671
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-126.666666667,"281.0566910499139
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-120.0,"281.0332401032702
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-113.333333333,"281.16082185886404
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-106.666666667,"281.6215576592083
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-100.0,"281.2871665232358
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-93.3333333333,"281.4101764199656
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-86.6666666667,"281.1447396729776
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-80.0,"281.14205034423406
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-73.3333333333,"281.15420611015486
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-66.6666666667,"280.9292706540448
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-60.0,"280.9369621342513
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-53.3333333333,"281.5141996557659
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-46.6666666667,"280.66378012048193
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-40.0,"281.34122203098104
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-33.3333333333,"280.979991394148
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-26.6666666667,"281.29776247848537
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-20.0,"281.175828313253
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-13.3333333333,"281.56206970740106
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-6.66666666667,"281.072074010327
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
0.0,"280.94535283993116
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
6.66666666667,"281.5514199655766
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
13.3333333333,"281.54738597246126
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
20.0,"281.52119191049917
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
26.6666666667,"281.4767641996558
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
33.3333333333,"280.84294320137695
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
40.0,"281.25564759036143
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
46.6666666667,"281.02856067125646
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
53.3333333333,"281.5403399311532
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
60.0,"281.08885542168673
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
66.6666666667,"283.9061962134251
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
73.3333333333,"286.1129518072289
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
80.0,"286.1493653184165
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
86.6666666667,"285.6172009466437
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
93.3333333333,"285.8081432874354
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
100.0,"285.8729561101549
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
106.666666667,"286.3249246987952
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
113.333333333,"285.8567663511187
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
120.0,"285.7269255593804
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
126.666666667,"286.0959552495697
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
133.333333333,"285.43007745266783
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
140.0,"286.0149526678141
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
146.666666667,"286.13774741824443
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
153.333333333,"286.0206540447504
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
160.0,"285.46751290877796
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
166.666666667,"285.08385327022376
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
173.333333333,"285.56206970740106
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
180.0,"285.65668029259894
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
186.666666667,"285.7048192771084
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
193.333333333,"285.8539694492255
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
200.0,"287.3759681583477
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
193.333333333,"287.1875537865749
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
186.666666667,"285.2902861445783
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
180.0,"285.50640060240966
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
173.333333333,"287.8592405335628
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
166.666666667,"285.2461811531842
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
160.0,"285.3090038726334
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
153.333333333,"286.5977839931153
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
146.666666667,"285.02619406196214
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
140.0,"285.68626290877796
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
133.333333333,"285.7135327022375
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
126.666666667,"285.9052818416523
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
120.0,"285.2722138554217
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
113.333333333,"285.5052710843374
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
106.666666667,"285.5686854561102
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
100.0,"285.73908132530124
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
93.3333333333,"285.7688253012048
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
86.6666666667,"285.084175989673
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
80.0,"286.9709552495697
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
73.3333333333,"287.0357142857143
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
66.6666666667,"284.9149096385542
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
60.0,"286.89172762478483
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
53.3333333333,"286.82277323580035
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
46.6666666667,"286.2710843373494
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
40.0,"286.87193416523235
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
33.3333333333,"286.68981282271943
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
26.6666666667,"286.3763446643718
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
20.0,"286.81314543889846
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
13.3333333333,"286.7117577452668
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
6.66666666667,"286.5314113597246
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
0.0,"286.37381669535284
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-6.66666666667,"286.8245481927711
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-13.3333333333,"286.9956970740103
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-20.0,"286.02436531841647
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-26.6666666667,"285.6253765060241
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-33.3333333333,"285.77570998278827
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-40.0,"282.77092297762476
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-46.6666666667,"281.4306691049914
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-53.3333333333,"281.3830679862307
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-60.0,"281.3335843373494
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-66.6666666667,"280.773343373494
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-73.3333333333,"281.56481282271943
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-80.0,"281.47133175559384
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-86.6666666667,"281.86999784853697
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-93.3333333333,"281.8994191049914
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-100.0,"281.31115533562826
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-106.666666667,"281.44126506024094
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-113.333333333,"281.32234294320136
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-120.0,"281.3376183304647
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-126.666666667,"281.46713640275385
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-133.333333333,"281.12327882960415
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-140.0,"281.2747956110155
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-146.666666667,"281.5447504302926
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-153.333333333,"280.70901462994834
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-160.0,"280.2130486230637
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-166.666666667,"283.0221600688468
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-173.333333333,"280.3956002581756
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-180.0,"280.5904690189329
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-186.666666667,"281.2842082616179
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-193.333333333,"280.7540339931153
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
-200.0,"280.8452022375215
",sample name,-400.0,-0.2999999999999998,2888.9810582019086
