Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"280.2577990533563
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-193.333333333,"280.265006454389
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-186.666666667,"279.91899741824443
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-180.0,"280.13817771084337
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-173.333333333,"280.1532917383821
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-166.666666667,"280.01662005163513
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-160.0,"280.1025172117039
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-153.333333333,"279.1623278829604
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-146.666666667,"280.239995697074
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-140.0,"279.9957508605852
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-133.333333333,"279.8335843373494
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-126.666666667,"280.15834767641996
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-120.0,"279.6354883820998
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-113.333333333,"279.3259466437177
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-106.666666667,"279.1106389845095
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-100.0,"279.75069922547334
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-93.3333333333,"279.64151247848537
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-86.6666666667,"280.01522160068845
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-80.0,"280.2113812392427
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-73.3333333333,"280.2113812392427
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-66.6666666667,"279.8823687607573
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-60.0,"279.78630593803786
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-53.3333333333,"280.2047654905336
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-46.6666666667,"279.35585197934597
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-40.0,"280.75693846815835
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-33.3333333333,"280.61902969018934
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-26.6666666667,"279.80260327022376
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-20.0,"280.25010757314976
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-13.3333333333,"280.1610370051635
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-6.66666666667,"279.95207616179005
",sample name,-400.0,1.7000000000000002,2841.2171680069923
0.0,"279.9024311531842
",sample name,-400.0,1.7000000000000002,2841.2171680069923
6.66666666667,"281.6056906196213
",sample name,-400.0,1.7000000000000002,2841.2171680069923
13.3333333333,"279.9037758175559
",sample name,-400.0,1.7000000000000002,2841.2171680069923
20.0,"280.0370051635112
",sample name,-400.0,1.7000000000000002,2841.2171680069923
26.6666666667,"279.9428786574871
",sample name,-400.0,1.7000000000000002,2841.2171680069923
33.3333333333,"280.00177495697073
",sample name,-400.0,1.7000000000000002,2841.2171680069923
40.0,"279.9480421686747
",sample name,-400.0,1.7000000000000002,2841.2171680069923
46.6666666667,"279.98526247848537
",sample name,-400.0,1.7000000000000002,2841.2171680069923
53.3333333333,"279.6792168674699
",sample name,-400.0,1.7000000000000002,2841.2171680069923
60.0,"279.8100796041308
",sample name,-400.0,1.7000000000000002,2841.2171680069923
66.6666666667,"280.0946105851979
",sample name,-400.0,1.7000000000000002,2841.2171680069923
73.3333333333,"282.13914586919105
",sample name,-400.0,1.7000000000000002,2841.2171680069923
80.0,"283.556260757315
",sample name,-400.0,1.7000000000000002,2841.2171680069923
86.6666666667,"284.66464070567986
",sample name,-400.0,1.7000000000000002,2841.2171680069923
93.3333333333,"284.7924376075731
",sample name,-400.0,1.7000000000000002,2841.2171680069923
100.0,"285.22240748709123
",sample name,-400.0,1.7000000000000002,2841.2171680069923
106.666666667,"285.2465038726334
",sample name,-400.0,1.7000000000000002,2841.2171680069923
113.333333333,"284.67722676419965
",sample name,-400.0,1.7000000000000002,2841.2171680069923
120.0,"284.7873278829604
",sample name,-400.0,1.7000000000000002,2841.2171680069923
126.666666667,"285.2224612736661
",sample name,-400.0,1.7000000000000002,2841.2171680069923
133.333333333,"285.36461919104994
",sample name,-400.0,1.7000000000000002,2841.2171680069923
140.0,"285.08724182444064
",sample name,-400.0,1.7000000000000002,2841.2171680069923
146.666666667,"284.78834982788294
",sample name,-400.0,1.7000000000000002,2841.2171680069923
153.333333333,"284.63710197934597
",sample name,-400.0,1.7000000000000002,2841.2171680069923
160.0,"285.3211058519793
",sample name,-400.0,1.7000000000000002,2841.2171680069923
166.666666667,"285.1693201376936
",sample name,-400.0,1.7000000000000002,2841.2171680069923
173.333333333,"285.3809165232358
",sample name,-400.0,1.7000000000000002,2841.2171680069923
180.0,"285.3201914802065
",sample name,-400.0,1.7000000000000002,2841.2171680069923
186.666666667,"284.95277538726333
",sample name,-400.0,1.7000000000000002,2841.2171680069923
193.333333333,"285.5957938898451
",sample name,-400.0,1.7000000000000002,2841.2171680069923
200.0,"284.6425344234079
",sample name,-400.0,1.7000000000000002,2841.2171680069923
193.333333333,"284.6934165232358
",sample name,-400.0,1.7000000000000002,2841.2171680069923
186.666666667,"285.0047332185886
",sample name,-400.0,1.7000000000000002,2841.2171680069923
180.0,"285.0515275387263
",sample name,-400.0,1.7000000000000002,2841.2171680069923
173.333333333,"285.21078958691913
",sample name,-400.0,1.7000000000000002,2841.2171680069923
166.666666667,"285.34729991394147
",sample name,-400.0,1.7000000000000002,2841.2171680069923
160.0,"285.0079604130809
",sample name,-400.0,1.7000000000000002,2841.2171680069923
153.333333333,"285.16786790017215
",sample name,-400.0,1.7000000000000002,2841.2171680069923
146.666666667,"285.4419104991394
",sample name,-400.0,1.7000000000000002,2841.2171680069923
140.0,"285.190834767642
",sample name,-400.0,1.7000000000000002,2841.2171680069923
133.333333333,"285.0346923407917
",sample name,-400.0,1.7000000000000002,2841.2171680069923
126.666666667,"285.0504518072289
",sample name,-400.0,1.7000000000000002,2841.2171680069923
120.0,"285.07180507745267
",sample name,-400.0,1.7000000000000002,2841.2171680069923
113.333333333,"285.32142857142856
",sample name,-400.0,1.7000000000000002,2841.2171680069923
106.666666667,"284.8894685886403
",sample name,-400.0,1.7000000000000002,2841.2171680069923
100.0,"285.3880163511187
",sample name,-400.0,1.7000000000000002,2841.2171680069923
93.3333333333,"284.9130271084337
",sample name,-400.0,1.7000000000000002,2841.2171680069923
86.6666666667,"285.2571536144578
",sample name,-400.0,1.7000000000000002,2841.2171680069923
80.0,"284.85698149741825
",sample name,-400.0,1.7000000000000002,2841.2171680069923
73.3333333333,"285.13236876075734
",sample name,-400.0,1.7000000000000002,2841.2171680069923
66.6666666667,"285.11284423407915
",sample name,-400.0,1.7000000000000002,2841.2171680069923
60.0,"285.3818308950086
",sample name,-400.0,1.7000000000000002,2841.2171680069923
53.3333333333,"284.8538618760757
",sample name,-400.0,1.7000000000000002,2841.2171680069923
46.6666666667,"284.9361015490534
",sample name,-400.0,1.7000000000000002,2841.2171680069923
40.0,"284.744997848537
",sample name,-400.0,1.7000000000000002,2841.2171680069923
33.3333333333,"284.95627151463
",sample name,-400.0,1.7000000000000002,2841.2171680069923
26.6666666667,"285.1432874354561
",sample name,-400.0,1.7000000000000002,2841.2171680069923
20.0,"284.7442448364888
",sample name,-400.0,1.7000000000000002,2841.2171680069923
13.3333333333,"285.06739457831327
",sample name,-400.0,1.7000000000000002,2841.2171680069923
6.66666666667,"285.37618330464716
",sample name,-400.0,1.7000000000000002,2841.2171680069923
0.0,"285.2313360585198
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-6.66666666667,"285.20632530120486
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-13.3333333333,"284.93550989672974
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-20.0,"284.6893287435456
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-26.6666666667,"280.2302603270224
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-33.3333333333,"279.6274741824441
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-40.0,"280.3301957831325
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-46.6666666667,"280.3600473321859
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-53.3333333333,"279.75586273666096
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-60.0,"280.18292814113596
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-66.6666666667,"280.589984939759
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-73.3333333333,"280.11644793459556
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-80.0,"280.6092943201377
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-86.6666666667,"280.2261725473322
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-93.3333333333,"280.14065189328744
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-100.0,"280.4740210843374
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-106.666666667,"279.511241394148
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-113.333333333,"280.09606282271943
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-120.0,"280.17475258175557
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-126.666666667,"280.1056906196213
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-133.333333333,"280.06024096385545
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-140.0,"280.6105314113597
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-146.666666667,"280.50753012048193
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-153.333333333,"279.85020438898454
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-160.0,"280.07761402753874
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-166.666666667,"280.6248386402754
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-173.333333333,"280.80410929432014
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-180.0,"280.1836273666093
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-186.666666667,"279.8826914802065
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-193.333333333,"280.03297117039585
",sample name,-400.0,1.7000000000000002,2841.2171680069923
-200.0,"280.67932444061967
",sample name,-400.0,1.7000000000000002,2841.2171680069923
