Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"281.0005378657487
",sample name,400.0,0.9000000000000002,2749.5176313132665
-193.333333333,"280.885004302926
",sample name,400.0,0.9000000000000002,2749.5176313132665
-186.666666667,"280.90990748709123
",sample name,400.0,0.9000000000000002,2749.5176313132665
-180.0,"280.6581325301205
",sample name,400.0,0.9000000000000002,2749.5176313132665
-173.333333333,"280.4740210843374
",sample name,400.0,0.9000000000000002,2749.5176313132665
-166.666666667,"281.01990103270225
",sample name,400.0,0.9000000000000002,2749.5176313132665
-160.0,"280.45734724612737
",sample name,400.0,0.9000000000000002,2749.5176313132665
-153.333333333,"280.76861015490533
",sample name,400.0,0.9000000000000002,2749.5176313132665
-146.666666667,"281.0856820137694
",sample name,400.0,0.9000000000000002,2749.5176313132665
-140.0,"280.4763339070568
",sample name,400.0,0.9000000000000002,2749.5176313132665
-133.333333333,"280.9768717728055
",sample name,400.0,0.9000000000000002,2749.5176313132665
-126.666666667,"280.7745266781411
",sample name,400.0,0.9000000000000002,2749.5176313132665
-120.0,"280.54066265060237
",sample name,400.0,0.9000000000000002,2749.5176313132665
-113.333333333,"281.4356174698795
",sample name,400.0,0.9000000000000002,2749.5176313132665
-106.666666667,"280.4991394148021
",sample name,400.0,0.9000000000000002,2749.5176313132665
-100.0,"281.5339931153184
",sample name,400.0,0.9000000000000002,2749.5176313132665
-93.3333333333,"280.88618760757316
",sample name,400.0,0.9000000000000002,2749.5176313132665
-86.6666666667,"281.4946213425129
",sample name,400.0,0.9000000000000002,2749.5176313132665
-80.0,"281.0
",sample name,400.0,0.9000000000000002,2749.5176313132665
-73.3333333333,"281.4071105851979
",sample name,400.0,0.9000000000000002,2749.5176313132665
-66.6666666667,"281.30905765920824
",sample name,400.0,0.9000000000000002,2749.5176313132665
-60.0,"280.9067340791738
",sample name,400.0,0.9000000000000002,2749.5176313132665
-53.3333333333,"280.99677280550776
",sample name,400.0,0.9000000000000002,2749.5176313132665
-46.6666666667,"280.69239457831327
",sample name,400.0,0.9000000000000002,2749.5176313132665
-40.0,"280.6631346815835
",sample name,400.0,0.9000000000000002,2749.5176313132665
