Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.97466036
",sample name,100.0,1357.7773175572217,0.7999999999999999
0.55,"1.97377672
",sample name,100.0,1357.7773175572217,0.7999999999999999
1.1,"1.97467343
",sample name,100.0,1357.7773175572217,0.7999999999999999
1.6500000000000001,"1.97671292
",sample name,100.0,1357.7773175572217,0.7999999999999999
2.2,"1.97622386
",sample name,100.0,1357.7773175572217,0.7999999999999999
2.75,"1.96986776
",sample name,100.0,1357.7773175572217,0.7999999999999999
3.3,"1.9301412
",sample name,100.0,1357.7773175572217,0.7999999999999999
3.8499999999999996,"1.89298605
",sample name,100.0,1357.7773175572217,0.7999999999999999
4.3999999999999995,"1.86542594
",sample name,100.0,1357.7773175572217,0.7999999999999999
4.949999999999999,"1.83953573
",sample name,100.0,1357.7773175572217,0.7999999999999999
5.499999999999999,"1.82348477
",sample name,100.0,1357.7773175572217,0.7999999999999999
6.049999999999999,"1.81022576
",sample name,100.0,1357.7773175572217,0.7999999999999999
6.599999999999999,"1.80043354
",sample name,100.0,1357.7773175572217,0.7999999999999999
7.149999999999999,"1.79173944
",sample name,100.0,1357.7773175572217,0.7999999999999999
7.699999999999998,"1.78602555
",sample name,100.0,1357.7773175572217,0.7999999999999999
8.249999999999998,"1.78149689
",sample name,100.0,1357.7773175572217,0.7999999999999999
8.799999999999999,"1.77761547
",sample name,100.0,1357.7773175572217,0.7999999999999999
9.35,"1.77578989
",sample name,100.0,1357.7773175572217,0.7999999999999999
9.9,"1.77100646
",sample name,100.0,1357.7773175572217,0.7999999999999999
10.450000000000001,"1.76689043
",sample name,100.0,1357.7773175572217,0.7999999999999999
11.000000000000002,"1.7636074
",sample name,100.0,1357.7773175572217,0.7999999999999999
10.450000000000001,"1.76103643
",sample name,100.0,1357.7773175572217,0.7999999999999999
9.9,"1.75943255
",sample name,100.0,1357.7773175572217,0.7999999999999999
9.35,"1.76026801
",sample name,100.0,1357.7773175572217,0.7999999999999999
8.799999999999999,"1.76193684
",sample name,100.0,1357.7773175572217,0.7999999999999999
8.249999999999998,"1.76515164
",sample name,100.0,1357.7773175572217,0.7999999999999999
7.699999999999998,"1.76419956
",sample name,100.0,1357.7773175572217,0.7999999999999999
7.149999999999999,"1.7652067
",sample name,100.0,1357.7773175572217,0.7999999999999999
6.599999999999999,"1.77092786
",sample name,100.0,1357.7773175572217,0.7999999999999999
6.049999999999999,"1.77291072
",sample name,100.0,1357.7773175572217,0.7999999999999999
5.499999999999999,"1.77261559
",sample name,100.0,1357.7773175572217,0.7999999999999999
4.949999999999999,"1.77514457
",sample name,100.0,1357.7773175572217,0.7999999999999999
4.3999999999999995,"1.77492258
",sample name,100.0,1357.7773175572217,0.7999999999999999
3.8499999999999996,"1.7766776
",sample name,100.0,1357.7773175572217,0.7999999999999999
3.3,"1.77793336
",sample name,100.0,1357.7773175572217,0.7999999999999999
2.75,"1.78027222
",sample name,100.0,1357.7773175572217,0.7999999999999999
2.2,"1.78030294
",sample name,100.0,1357.7773175572217,0.7999999999999999
1.6500000000000001,"1.7827142
",sample name,100.0,1357.7773175572217,0.7999999999999999
1.1,"1.78390774
",sample name,100.0,1357.7773175572217,0.7999999999999999
0.55,"1.78469966
",sample name,100.0,1357.7773175572217,0.7999999999999999
0.0,"1.78557565
",sample name,100.0,1357.7773175572217,0.7999999999999999
-0.55,"1.78677413
",sample name,100.0,1357.7773175572217,0.7999999999999999
-1.1,"1.78776443
",sample name,100.0,1357.7773175572217,0.7999999999999999
-1.6500000000000001,"1.79002718
",sample name,100.0,1357.7773175572217,0.7999999999999999
-2.2,"1.80430582
",sample name,100.0,1357.7773175572217,0.7999999999999999
-2.75,"1.866702
",sample name,100.0,1357.7773175572217,0.7999999999999999
-3.3,"1.90725195
",sample name,100.0,1357.7773175572217,0.7999999999999999
-3.8499999999999996,"1.9300082
",sample name,100.0,1357.7773175572217,0.7999999999999999
-4.3999999999999995,"1.9456918
",sample name,100.0,1357.7773175572217,0.7999999999999999
-4.949999999999999,"1.95166436
",sample name,100.0,1357.7773175572217,0.7999999999999999
-5.499999999999999,"1.95640255
",sample name,100.0,1357.7773175572217,0.7999999999999999
-6.049999999999999,"1.96124637
",sample name,100.0,1357.7773175572217,0.7999999999999999
-6.599999999999999,"1.96243996
",sample name,100.0,1357.7773175572217,0.7999999999999999
-7.149999999999999,"1.96512927
",sample name,100.0,1357.7773175572217,0.7999999999999999
-7.699999999999998,"1.96648261
",sample name,100.0,1357.7773175572217,0.7999999999999999
-8.249999999999998,"1.96582103
",sample name,100.0,1357.7773175572217,0.7999999999999999
-8.799999999999999,"1.96620919
",sample name,100.0,1357.7773175572217,0.7999999999999999
-9.35,"1.96470664
",sample name,100.0,1357.7773175572217,0.7999999999999999
-9.9,"1.96191707
",sample name,100.0,1357.7773175572217,0.7999999999999999
-10.450000000000001,"1.95934556
",sample name,100.0,1357.7773175572217,0.7999999999999999
-11.000000000000002,"1.95827196
",sample name,100.0,1357.7773175572217,0.7999999999999999
-10.450000000000001,"1.9571493
",sample name,100.0,1357.7773175572217,0.7999999999999999
-9.9,"1.95553462
",sample name,100.0,1357.7773175572217,0.7999999999999999
-9.35,"1.95636684
",sample name,100.0,1357.7773175572217,0.7999999999999999
-8.799999999999999,"1.95654566
",sample name,100.0,1357.7773175572217,0.7999999999999999
-8.249999999999998,"1.95651812
",sample name,100.0,1357.7773175572217,0.7999999999999999
-7.699999999999998,"1.95922257
",sample name,100.0,1357.7773175572217,0.7999999999999999
-7.149999999999999,"1.97266454
",sample name,100.0,1357.7773175572217,0.7999999999999999
-6.599999999999999,"1.98407006
",sample name,100.0,1357.7773175572217,0.7999999999999999
-6.049999999999999,"1.98125862
",sample name,100.0,1357.7773175572217,0.7999999999999999
-5.499999999999999,"1.9848623
",sample name,100.0,1357.7773175572217,0.7999999999999999
-4.949999999999999,"1.98461667
",sample name,100.0,1357.7773175572217,0.7999999999999999
-4.3999999999999995,"1.98624856
",sample name,100.0,1357.7773175572217,0.7999999999999999
-3.8499999999999996,"1.98624091
",sample name,100.0,1357.7773175572217,0.7999999999999999
-3.3,"1.98620343
",sample name,100.0,1357.7773175572217,0.7999999999999999
-2.75,"1.98675303
",sample name,100.0,1357.7773175572217,0.7999999999999999
-2.2,"1.98829901
",sample name,100.0,1357.7773175572217,0.7999999999999999
-1.6500000000000001,"1.98748344
",sample name,100.0,1357.7773175572217,0.7999999999999999
-1.1,"1.98830164
",sample name,100.0,1357.7773175572217,0.7999999999999999
-0.55,"1.98897617
",sample name,100.0,1357.7773175572217,0.7999999999999999
0.0,"1.98986787
",sample name,100.0,1357.7773175572217,0.7999999999999999
